H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
-0.115926035,-0.0889319,-0.30703953,-0.19262196,-0.10418166,-0.16496918,-0.25018954,-0.33157343,-0.30916718,-0.3038491,-0.4689218,-0.3883983,-0.43570203,-0.27648538,-0.21764089,-0.27978128,-0.19842777,-0.16827427,-0.08881264,-0.4264939,-0.427129,-0.39251068,-0.46530166,-0.39287814,-0.5579334,-0.5121679,-0.46178943,-0.49710754,-0.36198708,-0.56247133,-0.6975332,-0.3395046,-0.15699895,-0.4363677,-0.017754374,0.18150169,-0.31642053,-0.42384988,-0.1329041,-0.42841604,-0.4233822,-0.55361277,0.04646606,-0.015762705,-0.1840263,-0.27872187,-0.07456943,-0.43909353,-0.084904015,-0.43891346,-0.48395225,-0.5840366,-0.11586261,0.3286368,-0.44064876,-0.43736196,-0.26591924,-0.53527623,-0.07354086,-0.13655317,-0.05217614,-0.21792181,-0.10660018,0.027081424,-0.13027313,-0.09754358,0.015967607,-0.020349436,0.03237153,-0.10349547,-0.104061306,-0.17190598,-0.4297248,-0.36081022,0.12832212,0.1259343,-0.06268752,-0.106596954,0.05845637,0.013249606,0.09248268,-0.44971573,-0.40570134
0.045425568,0.020486519,0.12615415,-0.16735096,0.12862673,0.14451188,-0.00065499375,0.09679709,0.3012707,0.44137883,0.050778,-0.18207905,-0.13359115,0.20182608,0.14080226,0.36308017,0.20633079,0.07999775,-0.27121168,-0.058397833,-0.35934713,0.036979344,0.46020892,-0.23468281,-0.0897764,-0.0823548,-0.060885053,-0.116022125,-0.05230139,-0.032605026,0.25778222,0.3900611,0.19577797,0.33655882,0.15822461,0.1736859,0.20276846,0.0031505497,-0.11792771,-0.21703948,-0.28864804,0.16329777,-0.01151546,0.0025893238,0.14968076,0.07615207,0.39544284,0.14288622,0.15313685,0.021457462,0.050882,0.27954042,0.44008014,0.35933056,0.11499809,0.17111121,-0.37584433,-0.23384781,-0.28253713,0.05985325,0.28169364,0.15385087,0.41231015,0.090646744,0.34303355,0.2927757,0.33377445,0.263419,0.23551343,0.39860934,0.34594637,-0.038145017,-0.042241875,0.006176775,-0.5595669,0.30153447,0.10415993,0.10439164,0.33383718,0.15000696,0.41481823,-0.046239357,0.24491468
0.057377562,0.17292283,0.057487573,0.13188477,0.061319046,0.05627366,0.1114651,-0.04082918,0.26595542,0.07448013,-0.15001118,0.019281432,-0.093868956,-0.14060146,0.050662104,0.121383995,0.143872,0.23944348,0.08367435,0.09283654,-0.19397426,-0.0642656,0.17965443,-0.023836063,0.18332307,-0.12347702,0.0439912,-0.019659773,0.037688695,0.11210016,0.00027860483,-0.16588818,-0.033948965,-0.13155591,0.031389844,0.18339477,0.10052881,-0.0394524,-0.060705632,0.017427133,0.06494291,0.04403938,-0.19463359,0.09335031,-0.114158034,0.1643172,0.08063241,-0.089941986,-0.041147403,0.11658882,-0.22426584,-0.13492684,-0.16187571,0.42588478,-0.015415492,0.085947454,-0.031011427,0.41366416,0.11280334,0.05960982,-0.011701402,0.39285216,0.34721702,0.32649544,0.3446963,0.44027564,0.19373749,0.21390878,0.31620932,0.25772494,0.35647032,-0.20250162,-0.16788791,-0.05936529,-0.10412302,-0.36971134,0.26661697,0.07899573,0.034469992,-0.43924445,0.06914355,-0.12585613,-0.1333544
0.13807328,0.06679069,0.09817088,0.060794078,-0.0981608,-0.07648841,0.036023222,0.015598816,-0.052478865,-0.17211628,-0.09458469,-0.11826617,-0.17667148,-0.28660795,-0.16156898,-0.11833421,-0.40109855,-0.05064325,0.021764118,-0.13587144,0.29585394,0.0059617623,-0.36502612,-0.03614612,0.019472893,0.047944553,0.14342317,-0.032639816,-0.20896898,-0.17036085,0.051130097,-0.30197617,-0.21630579,-0.36591083,-0.28353733,0.025926344,-0.14292905,0.136325,-0.05659908,0.070615634,0.010175883,0.008780956,0.23887688,0.074198924,0.38597396,0.09707809,-0.116497,-0.28577235,-0.088792,-0.28027898,-0.32515442,-0.29900423,-0.37408677,0.11243999,-0.057093516,-0.030277453,0.20793337,0.29251412,0.37658212,0.38639134,0.49052793,0.48118117,0.31248894,0.25959006,0.06475243,0.13190605,0.2589771,0.17977963,0.29929405,0.27551726,0.33923066,-0.016997375,0.42200047,-0.32842746,0.12138237,0.11274498,0.20783292,0.25136575,0.061954994,-0.18910453,-0.18266088,-0.308838,-0.043285675
0.021354811,0.3559039,0.09015002,0.13860288,0.16460548,-0.024379812,0.046578143,-0.13401209,0.1798762,0.3740015,0.1532484,-0.047164824,-0.09378389,0.09156052,0.10142877,0.053874623,0.2743696,0.1792882,-0.12301164,-0.041519742,-0.20739385,-0.2985593,-0.19427352,-0.18696138,0.039824434,0.07059254,0.12675567,-0.08651298,-0.1317863,-0.06836765,-0.1361514,0.18895541,0.11602086,-0.22286545,0.3177259,-0.16138051,-0.13069002,-0.053285588,0.14982784,-0.312621,-0.22067705,-0.2055458,0.09125802,-0.010752527,0.163002,-0.19383503,-0.27337867,-0.21789311,0.06492816,-0.26352933,-0.10141476,0.046329778,0.16138154,0.12562914,0.18461277,-0.08571887,0.18885723,0.02384184,0.19367968,0.17766674,0.3614757,0.13669392,0.32812876,0.31123653,0.3128659,0.4799305,0.008663733,0.22271994,-0.110442095,0.24464548,0.3735267,-0.32638562,-0.045386553,-0.0119912,0.061776415,0.019579247,0.02965778,-0.15008755,-0.31285617,-0.33466017,-0.09487823,-0.18327777,-0.12558839
0.30685654,0.12444517,-0.03083997,0.010448508,0.16309951,0.02399146,0.010554429,0.30862966,0.28852355,0.5167012,0.35729873,0.1350611,0.068848304,0.09452248,0.24434406,0.1905914,0.38559493,0.09082081,0.34776485,0.3270993,0.67042696,0.21072891,0.29567608,0.012024185,0.06576622,0.067689955,-0.07487833,-0.060454663,0.028171869,0.10077011,0.34792855,0.09746688,0.18092974,0.1749359,0.49418756,0.2695258,0.29295474,0.2616457,0.37959927,0.12692854,0.20512119,0.12041009,0.279617,0.10984818,0.073443465,-0.09550268,-0.046075504,0.08528443,0.25833768,0.13579951,0.12999558,0.38343,0.21350174,0.34784535,0.24204095,0.4711137,0.11687617,0.120062925,0.4324069,0.70734644,0.2251477,0.6046484,0.5995255,0.4097864,0.56998354,0.52897114,0.59142214,0.779047,0.18807328,0.51831764,0.5140685,0.670287,0.49854735,0.25856885,0.25074154,0.2862913,0.057149358,-0.046409227,-0.035862483,0.4161049,0.2163123,0.14369942,-0.019313212
-0.27199498,-0.026377764,-0.7105661,-0.23503368,-0.33789197,-0.24628277,-0.23771763,-0.20780171,-0.13703473,-0.5109357,-0.6018469,-0.75447357,-0.6003005,-0.51825595,0.19866093,-0.16397744,-0.47212607,-0.43091708,-0.27598193,-0.39463404,-0.29547808,-0.3057632,-0.6098115,-0.24197826,-0.37793517,-0.28382507,-0.33367357,-0.35261348,-0.38635883,-0.49235234,-0.46416065,-0.5765278,-0.08829979,-0.27335963,-0.74461365,-0.47878242,-0.4138997,-0.41688102,-0.17150666,-0.32469973,-0.070946984,-0.15503798,-0.20464812,-0.03595004,-0.2137771,-0.2894792,-0.32930025,-0.36786586,0.111745864,-0.5110922,-0.50526696,-0.49984884,-0.005267881,-0.36720586,-0.46040395,-0.6340414,-0.31568775,-0.44138417,-0.10036902,-0.40993622,-0.39282864,-0.40479952,-0.4013258,-0.17611416,-0.20718142,-0.37426078,-0.35047644,-0.4942693,-0.29763544,-0.49689627,-0.12893781,-0.47317213,-0.1045265,-0.24226657,0.046684235,-0.32608512,-0.29318652,-0.15706006,-0.102864854,-0.49976584,-0.71982235,-0.5147661,-0.27537394
-0.12949622,-0.026236918,0.053097025,-0.08107679,0.35985792,0.3935489,0.020254029,0.18677408,0.09965304,-0.24903959,-0.036829796,-0.14895083,-0.11111236,0.1672673,0.22732605,0.06186534,0.09884982,-0.0051479703,-0.039751172,-0.07270115,-0.23469812,-0.08951516,0.07416747,-0.21489847,-0.071216345,-0.12772183,-0.39378643,-0.23046932,-0.27688685,-0.15133543,-0.29744372,0.043527436,0.03154576,-0.111049935,-0.0811952,-0.15781917,-0.2711864,-0.27039382,-0.13291231,-0.04110942,0.094034865,-0.23002094,-0.027207498,-0.41927502,0.015803987,-0.31661585,-0.36349443,-0.014353774,0.0011831196,0.11641467,0.0384537,-0.083038904,-0.08201601,0.021936595,-0.145208,-0.010089445,-0.26364228,-0.29074314,0.14671801,-0.1741338,-0.2826552,-0.22651036,-0.16487308,-0.4070008,-0.39367318,-0.2614017,-0.34975073,-0.4688511,0.040688835,-0.4272683,-0.4312354,-0.07829281,-0.16284524,-0.19963868,-0.3027295,-0.080164775,-0.3011435,-0.3233447,-0.37199283,-0.060987215,-0.43316278,-0.093350835,-0.11751997
-0.013706292,-0.27913916,0.25038865,-0.14706597,0.06936016,0.15836361,-0.09555506,0.12491112,0.13415875,0.13104603,0.16094114,0.048855618,0.02205435,0.0052096993,-0.22116746,0.16464429,-0.019293366,0.21376546,0.2108441,0.043878935,-0.11977535,0.06317761,0.22943549,0.113102525,0.11252027,0.19253963,0.14015156,0.17378299,-0.06690302,0.003819939,0.012176519,-0.01480829,0.07601086,-0.010324247,0.16894083,-0.37466502,-0.33436024,-0.14208299,-0.18899728,-0.060080893,0.11131671,0.10119519,0.103628665,-0.06080249,-0.12869787,-0.07915452,0.07529014,-0.11196194,0.17847148,-0.07841293,0.020399658,0.4417878,0.124953255,-0.20078473,0.055888146,-0.21509148,0.043910537,-0.007562113,-0.08759675,-0.09133452,-0.18365043,-0.34588653,-0.10209241,-0.062141947,-0.0068341885,-0.07243212,-0.1919712,-0.15653463,0.07808083,0.146968,-0.077217765,-0.03291917,-0.005835075,0.06645594,-0.107757,-0.16733783,-0.12888795,-0.026753945,0.00090051646,-0.17219858,0.15830171,-0.14071004,0.13791747
-0.07733933,-0.16809756,-0.054032736,-0.082746714,0.22829475,-0.09510777,-0.15183951,-0.2039226,-0.15561572,-0.1318071,-0.1468771,0.15135135,0.023700861,-0.061739042,-0.16948114,-0.13420257,-0.31579518,-0.08938599,0.1618642,-0.17772259,0.27422407,-0.19371879,0.011512072,0.049988784,0.007828967,0.047740016,0.078724995,0.046148606,0.07085695,0.07640266,0.06357559,-0.0029685933,-0.0032685504,-0.08623835,-0.16377662,0.21057251,-0.058923822,0.121882044,0.23749086,0.21039993,0.27086356,-0.06246837,0.1106215,-0.52599263,-0.48915252,-0.322511,0.03189081,0.14636768,0.100591466,-0.04504214,-0.034144063,-0.23060028,0.04572086,0.09213249,0.005633484,0.080594026,0.40735635,0.26268986,0.6831367,0.7237002,0.36088878,0.71896464,0.49523386,0.2631516,0.3916801,0.8501276,0.76870817,0.6732787,0.38234788,0.6407409,0.5962377,0.033122055,0.19734016,0.07127907,-0.0072035375,-0.22197405,-0.36807284,-0.24760328,-0.019894658,-0.09868983,-0.1709819,0.04069489,0.05501711
