H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
-0.41870713,-0.6884909,-0.16277085,0.33750504,0.13429405,-0.07119213,0.008982299,-0.27141947,-0.04043009,-0.3073494,-0.19365364,-0.37577754,-0.044374898,-0.015050668,-0.13676731,-0.37274706,-0.05388381,-0.15538846,-0.13704312,-0.08669342,-0.38244012,-0.28561482,-0.44458604,-0.52044976,0.00015460391,-0.28147602,-0.8231234,-0.61224097,-0.06736418,-0.11133557,-0.07364834,-0.06196505,-0.03345914,-0.19474904,-0.15804617,0.31122714,-0.087081164,0.07816336,-0.4347467,-0.3501157,-0.28227526,-0.41581517,0.21651888,-0.7023593,-0.5326201,-0.6981711,-0.33506292,-0.027739009,0.05882362,-0.2477096,-0.20407115,-0.47867954,-0.24595572,-0.2463477,0.18849057,-0.6116569,-0.64399797,-0.38859308,0.073726855,-0.18218991,0.4166489,-0.7649271,-0.26192978,-0.1661654,-0.3266457,-0.47805902,-0.59865075,-0.48983958,-0.20418824,0.028249573,-0.33556166,-0.040593494,-0.5154203,-0.100664884,0.29887104,-0.05936899,-0.30438262,-0.53064215,-0.548158,-0.2633045,-0.2578583,-0.22608264,-0.07493772
0.13257931,0.4270126,-0.33819574,-0.5140897,-0.36041558,-0.16947396,-0.06608196,0.22482932,-0.20979422,0.20809025,-0.26016697,-0.33545196,-0.5094284,-0.69909185,-0.10312763,-0.35620165,0.011061093,0.14654472,-0.21054448,-0.51364815,0.14053538,-0.4163303,-0.30777168,-0.20845295,-0.4589364,-0.4532775,-0.43614706,-0.32229206,-0.43998086,-0.29074526,-0.024430562,-0.38259357,-0.25752857,-0.5050407,-0.20878884,0.19613439,-0.42326584,-0.2744013,0.060075082,0.04732342,-0.3267943,-0.27594158,0.17642899,-0.01790585,0.18591812,0.1776662,-0.1711546,0.012236652,-0.18774197,-0.37223586,-0.19102785,-0.23377793,-0.14263235,0.3235972,-0.21708666,-0.34541425,-0.0463724,-0.09319975,0.09189693,0.17100003,0.36104566,0.14981474,0.10138451,-0.11679414,-0.34314314,-0.0051969113,-0.017334001,-0.15503444,0.29082254,-0.13209085,-0.3112632,0.054452423,-0.55830747,-0.40973336,0.24661858,0.5191283,-0.17919864,-0.0657103,-0.38431326,-0.0771571,0.059789658,-0.5850304,-0.6441738
0.3468288,0.07807638,-0.11387433,0.09825725,0.34275424,0.4959643,0.6636564,0.3956611,0.2991776,0.29313174,0.1627383,0.27241325,0.37961662,0.051446505,0.22003168,0.4449615,0.40343326,0.5187516,0.50522316,-0.02110854,0.4519184,0.3422341,0.07650991,0.67342955,0.39649224,0.4251924,0.6037035,0.6051803,0.4159314,0.47477496,0.7549056,0.033863053,0.27245697,0.5660476,0.66029173,0.030434418,0.32500017,0.37264863,0.16216569,0.019102868,0.36529106,0.5825756,0.56306225,0.59119457,0.73107857,0.53121483,0.36024684,0.49365318,0.3661003,0.5225635,0.97548914,0.44782692,0.48515195,-0.21880639,-0.016960857,0.23931263,0.2483389,0.21094915,-0.2881676,-0.0016957071,0.4686156,0.31069395,0.2971675,-0.10029074,0.050984066,-0.11143568,0.3063454,0.41882062,-0.0790655,0.26547503,0.34688914,0.11681973,-0.03393097,0.20071445,0.7345139,0.56615317,0.41584688,0.4025982,0.40985948,0.8919319,0.37067345,0.32422733,0.64378476
0.43173817,0.080128305,0.53905296,0.17353573,0.25663522,0.12346915,0.19624254,0.2832205,0.5599126,0.09769954,0.09128904,-0.078948066,0.059322372,-0.048348982,-0.01920049,0.18949588,0.5271511,0.23268494,0.42419165,0.09105975,0.2471347,0.10578451,0.6023518,-0.037538804,0.3609628,0.025545117,-0.11180327,-0.10593305,0.033138614,0.0379137,0.4220823,0.0781491,0.23448378,0.69010895,0.95969784,0.37854734,0.53520346,0.54618955,0.6803936,0.6182535,0.21842517,0.39719638,0.6389847,0.5580827,0.28553146,0.41392645,0.20807557,0.1925474,0.2286697,0.29458144,0.3085796,0.37244117,0.5586276,0.6182617,0.204883,0.74959415,0.6452159,0.85484457,1.0470312,1.1726108,1.1000751,0.8020833,0.5040928,0.9283284,0.88076186,0.5931071,0.8834708,0.57044834,0.8232246,1.1014822,1.2603098,0.3826329,0.0866211,0.3075665,0.3451496,1.4442617,0.40172386,0.3562244,0.1267177,0.32897198,0.95215607,0.29707596,0.2573055
0.053576466,0.1198996,0.16654365,0.4750536,0.008880226,0.031212064,0.025588162,0.07954644,0.23528463,0.23109095,-0.22243339,-0.03715584,0.02279551,0.10973068,-0.18857104,-0.01683087,0.00858606,0.27934283,-0.04343026,-0.15420705,-0.041771784,0.17986688,0.31346786,-0.27615112,0.046350606,-0.118858665,-0.13777305,-0.029286278,0.06596315,0.21631856,0.354409,0.17542814,-0.02278955,0.38644257,0.10232841,-0.08637772,0.19213358,0.068700604,-0.40632778,0.1250146,0.022849852,-0.1105997,-0.009032362,-0.26878873,0.026821868,0.102039285,-0.098600306,0.01805056,-0.08919449,0.017107775,0.5698503,0.4779438,-0.1194996,-0.040604044,0.34799734,-0.14180568,-0.15343231,-0.30273175,-0.034066744,0.10622226,-0.47388446,-0.08801896,-0.45291305,-0.20910974,-0.12289338,-0.44577378,0.085284784,0.3100184,-0.10564059,-0.21435054,-0.16068603,0.2697559,0.44858864,0.36972603,-0.014721388,0.12902212,0.37556788,-0.13500482,0.00897066,0.3541147,0.31805226,0.33261952,0.18012302
0.03317959,-0.15827645,0.20417571,0.20251185,0.19776131,0.33766672,-0.069066875,0.024769677,-0.26744863,-0.3607371,0.10880704,-0.086768486,0.039437782,-0.10105112,0.056014027,0.10665949,-0.23641108,-0.018863373,0.06397482,-0.038704887,-0.20933002,0.045253564,-0.010508118,-0.008899292,-0.10099062,-0.090050355,0.070949584,0.13041876,-0.054800846,-0.17105526,-0.26568553,0.07270996,-0.13377053,-0.4670487,-0.0545612,-0.07035366,-0.37919462,-0.024735954,-0.11203497,-0.25581133,-0.05714227,0.0828982,-0.07909828,-0.27759865,-0.12441584,-0.18853775,0.09778255,-0.06661332,-0.001763048,0.066842645,-0.16192809,-0.24404654,0.18456279,0.07605415,0.018732402,0.022877794,-0.059500556,-0.17938405,0.15343514,0.15400557,0.6946659,0.08785045,0.4757263,0.25079733,0.5089579,0.6102901,0.056475416,0.12682965,0.15033731,0.24622549,-0.02269825,-0.15048951,-0.2281782,-0.09632393,0.1306298,-0.45006806,0.11649368,0.023477364,0.06593112,-0.021742024,-0.034227658,0.072355144,-0.23301776
0.12373994,0.3056763,-0.17956275,-0.06698515,0.06659037,-0.14650445,-0.020495756,0.08774505,0.1420349,-0.055523455,-0.51302016,-0.13876422,-0.0027607349,-0.34291527,0.10719787,-0.052054066,-0.03839272,0.18767713,0.08878948,-0.14918663,-0.5931589,0.31154865,0.03776441,0.093008086,0.119228505,0.18114395,0.42351165,0.38546732,0.21487676,-0.0035249728,-0.3456058,-0.47442573,0.09638765,0.14051367,0.0058188518,-0.97410166,-0.61519414,-0.31951866,-0.18778497,0.116923146,0.066282526,0.103321485,0.06020749,0.50826204,0.2697256,0.29384708,0.12746593,-0.31035873,0.040155735,0.12733795,-0.1900713,0.08591295,-0.14324604,0.019296957,-0.54305303,-0.17311744,-0.27869833,-0.35912475,-0.09133911,-0.42368418,-0.13891867,-0.5634908,-0.41750374,-0.23197998,-0.33302438,-0.39018896,-0.7277102,-0.5489539,-0.26718804,-0.35738295,-0.64822817,-0.37739977,0.054973226,-0.004985076,-0.38511539,0.64176744,0.08507157,0.46177316,0.27713922,-0.14977442,0.36930838,-0.30891675,-0.04038517
-0.11821216,-0.08719276,-0.23711988,0.1361064,0.15661338,0.16081074,-0.031458713,-0.25955164,-0.11368564,-0.29674256,0.14079943,0.07983416,0.29053563,0.06889716,-0.104481705,0.3008174,-0.2562566,-0.090995856,0.08425295,-0.18667465,0.062370233,0.13569151,0.38905814,0.07800135,0.19742054,0.13256113,-0.03669024,0.30218628,-0.047518443,-0.011763979,0.32714057,0.09120507,0.023978652,-0.07271518,-0.08154875,-0.3972627,-0.08564608,0.16107917,-0.12206977,0.12751746,-0.043339815,0.48528355,0.3199527,0.18695062,0.3544567,0.030695371,0.14088322,0.0962493,0.034465685,0.094325975,-0.20952982,0.06394957,-0.00038252136,0.26158974,0.23168644,-0.07376712,0.06175996,0.100992195,-0.042760763,0.5322101,0.56267816,0.068331696,0.3006036,0.3685404,0.2943862,0.22811703,-0.1018618,0.24465272,0.2505779,0.052996907,0.102558695,-0.07997059,0.08148099,0.27108344,0.3272102,0.54270667,0.21699327,0.26621705,0.20938732,0.1653177,0.6688312,0.20661005,-0.1788733
0.051447548,0.09427835,-0.16468832,-0.1200641,-0.12235379,-0.22196113,0.002396974,0.051370002,-0.20674057,-0.8398005,-0.2842673,-0.10464174,-0.11441646,-0.1505534,-0.36649063,-0.32358456,-0.3908793,-0.33078516,-0.35743865,-0.36191428,0.00040910227,-0.23396006,-0.24491599,-0.35161388,-0.1978539,-0.306387,-0.61517316,-0.4632015,-0.50105923,-0.03252299,-0.06413082,-0.20382646,-0.12132728,-0.13635273,-0.50763726,-0.43738735,-0.8654997,0.050224714,-0.07008921,-0.04389997,-0.13918732,-0.5465432,-0.7647019,-0.32242078,0.011781121,-0.29314938,-0.26902544,-0.25269142,-0.13096751,-0.15936582,-0.008489462,-0.44700214,-0.28127295,-0.3946634,-0.23379573,-0.111247726,-0.21146967,-0.29751056,-0.38458914,-0.5283324,-0.74400634,-0.3845588,-0.26507264,-0.45861915,-0.49314153,-0.5558786,-0.44031316,-0.37077123,-0.43920603,-0.42448425,-0.36976963,-0.2802668,-0.12321209,-0.36396137,-0.31027737,-0.38490942,-0.079629235,-0.0868869,-0.45184422,-0.17980611,-0.2957916,0.18561484,-0.033558
0.3890951,0.35096908,0.48551074,-0.13419195,0.44163287,0.55173475,0.35285383,0.33283177,0.24707392,0.2573727,0.30866623,0.3097892,0.3602924,0.2950877,0.07981262,0.22430547,0.0438004,0.10712124,0.05691891,0.32372048,0.44983992,0.1395598,0.31883642,0.020073332,0.14608267,0.20763998,0.24107039,0.45238596,0.15627037,0.27481976,0.53358823,0.35055843,0.038833883,0.050358303,-0.112106055,0.21776183,0.09097062,0.516446,0.5865335,0.18402843,0.19873765,0.14622231,0.23205611,0.14366184,0.4117665,0.25167578,0.36316514,0.4721009,0.011676454,0.30237624,0.47807586,0.33438054,0.18912219,0.023098068,0.5760619,0.304707,0.83894706,0.4346632,0.59317905,0.25305116,0.22523144,0.2140397,0.5324345,0.41847673,0.67650485,0.34954223,0.45553747,0.83711076,0.06001463,0.512301,0.2951765,0.16900048,0.20095693,0.08165779,0.031733718,0.11021532,0.21318328,0.44952193,0.27294222,0.010739942,-0.105481215,0.2850715,0.63384515
